energy_function,model_name,energy,time,lr,clamp_grads,patience,min_delta,x0_std
Energy_Bond_LJ,bond_LJ_n400_d3,-0.02327481471002102,38.84064555168152,0.001,0.01,20,1e-06,1.2302675247192383
Energy_Bond_LJ,CG_Bond_LJ2_n400_d3,-0.023298857733607292,36.40798759460449,0.02,0.01,20,1e-08,0.9273326992988586
Energy_Bond_LJ,GNN_Bond_LJ2-0.33_n400_d3,0.6838811039924622,26.872082948684692,0.02,0.01,20,1e-07,0.9407470226287842
Energy_Bond_LJ,GNN_Bond_LJ2-0.33_n400_d3,1.1338798999786377,29.389891147613525,0.02,0.01,20,1e-07,0.9166007041931152
Energy_Bond_LJ,GNN_Bond_LJ2-0.25_n400_d3,0.7267335057258606,28.31277084350586,0.02,0.01,20,1e-06,0.9257686734199524
Energy_Bond_LJ,CG_Bond_LJ2_n400_d3,-0.023290084674954414,32.781776905059814,0.02,0.01,20,1e-08,0.9113998413085938
Energy_Bond_LJ,CG_Bond_LJ2_n400_d3,0.019578242674469948,29.885590076446533,0.02,0.01,20,1e-06,0.9024015069007874
Energy_Bond_LJ,CG_Bond_LJ2_n400_d3,-0.0018559908494353294,29.030797958374023,0.02,0.01,20,1e-06,0.9379661083221436
Energy_Bond_LJ,GNN_Bond_LJ2-0.33_n400_d3,0.34105151891708374,24.426741361618042,0.02,0.01,20,1e-06,0.9407038688659668
Energy_Bond_LJ,GNN_Bond_LJ2-0.33_n400_d3,0.8767626285552979,33.41733694076538,0.02,0.01,20,1e-06,0.9072903990745544
Energy_Bond_LJ,GNN_Bond_LJ2-0.20_n400_d3,0.8124792575836182,35.95905923843384,0.02,0.01,20,1e-06,0.9281078577041626
Energy_Bond_LJ,GNN_Bond_LJ2-0.50_n400_d3,0.7267683148384094,34.557208776474,0.02,0.01,20,1e-06,3.7018704414367676
Energy_Bond_LJ,GNN_Bond_LJ2-0.25_n400_d3,-0.023281432688236237,33.730645179748535,0.02,0.01,20,1e-06,0.9108607769012451
