energy_function,model_name,energy,time,lr,clamp_grads,patience,min_delta,x0_std,num_nodes,lr_cg,cg_patience,cg_min_delta,cg_steps,cg_time,cg_energy,num_cg_modes,hidden_dims
Energy_Bond_LJ,Bond_LJ_n400_d3,-0.023134969174861908,11.39547872543335,0.05,0.1,20,1e-06,1.7716580629348755,400,,,,,,,,
Energy_Bond_LJ,CG_Bond_LJ0.33_n400_d3,-0.02244121953845024,12.73427963256836,0.05,0.1,20,1e-06,1.7716580629348755,400,0.05,20.0,9.999999999999999e-06,429.0,8.475058794021606,-0.018961824476718903,,
Energy_Bond_LJ,GNN_Bond_LJ0.33_n400_d3,-0.0230917576700449,17.075809717178345,0.05,0.1,20,1e-06,1.7716580629348755,400,0.005,20.0,9.999999999999999e-06,464.0,11.2923104763031,-0.022453518584370613,133.0,"[8, 4, 3]"
Energy_Bond_LJ,GNN_Bond_LJ0.33_n400_d3,-0.018882328644394875,8.063782930374146,0.05,0.1,20,1e-06,1.7716580629348755,400,0.005,20.0,9.999999999999999e-06,307.0,7.707634925842285,-0.0048871031031012535,133.0,"[32, 16, 3]"
Energy_Bond_LJ,CG_Bond_LJ0.25_n400_d3,-0.023265095427632332,11.898211002349854,0.05,0.1,20,1e-06,1.7716580629348755,400,0.05,20.0,9.999999999999999e-06,478.0,9.86643123626709,-0.022013241425156593,,
Energy_Bond_LJ,GNN_Bond_LJ0.25_n400_d3,-0.023072879761457443,18.04711389541626,0.05,0.1,20,1e-06,1.7716580629348755,400,0.005,20.0,9.999999999999999e-06,615.0,15.026489973068237,-0.02282022498548031,100.0,"[8, 4, 3]"
Energy_Bond_LJ,GNN_Bond_LJ0.25_n400_d3,-0.02111588977277279,7.152558088302612,0.05,0.1,20,1e-06,1.7716580629348755,400,0.005,20.0,9.999999999999999e-06,268.0,6.801043748855591,-0.016226790845394135,100.0,"[32, 16, 3]"
Energy_Bond_LJ,CG_Bond_LJ0.20_n400_d3,-0.023099631071090698,11.436477422714233,0.05,0.1,20,1e-06,1.7716580629348755,400,0.05,20.0,9.999999999999999e-06,389.0,8.304187297821045,-0.020562760531902313,,
Energy_Bond_LJ,GNN_Bond_LJ0.20_n400_d3,-0.02312530018389225,14.506536960601807,0.05,0.1,20,1e-06,1.7716580629348755,400,0.005,20.0,9.999999999999999e-06,469.0,11.374010801315308,-0.02289706841111183,80.0,"[8, 4, 3]"
Energy_Bond_LJ,GNN_Bond_LJ0.20_n400_d3,-0.023087643086910248,10.933907508850098,0.05,0.1,20,1e-06,1.7716580629348755,400,0.005,20.0,9.999999999999999e-06,314.0,7.8613574504852295,-0.02282850630581379,80.0,"[32, 16, 3]"
Energy_Bond_LJ,CG_Bond_LJ0.10_n400_d3,0.0002586824120953679,7.440753698348999,0.05,0.1,20,1e-06,1.7716580629348755,400,0.05,20.0,9.999999999999999e-06,313.0,6.748211145401001,0.005023360252380371,,
Energy_Bond_LJ,GNN_Bond_LJ0.10_n400_d3,-0.001642425311729312,17.92289710044861,0.05,0.1,20,1e-06,1.7716580629348755,400,0.005,20.0,9.999999999999999e-06,617.0,14.845984697341919,-0.0010851853294298053,40.0,"[8, 4, 3]"
Energy_Bond_LJ,GNN_Bond_LJ0.10_n400_d3,-0.020325182005763054,5.2851243019104,0.05,0.1,20,1e-06,1.7716580629348755,400,0.005,20.0,9.999999999999999e-06,186.0,4.9098286628723145,-0.017025142908096313,40.0,"[32, 16, 3]"
Energy_Bond_LJ,Bond_LJ_n400_d3,-0.023112080991268158,11.706313610076904,0.05,0.1,20,1e-07,1.7716580629348755,400,,,,,,,,
Energy_Bond_LJ,CG_Bond_LJ0.33_n400_d3,-0.022856051102280617,12.996304750442505,0.05,0.1,20,1e-07,1.7716580629348755,400,0.05,20.0,1e-06,438.0,9.147434711456299,-0.01823980174958706,,
Energy_Bond_LJ,GNN_Bond_LJ0.33_n400_d3,0.06269672513008118,15.048889398574829,0.05,0.1,20,1e-07,1.7716580629348755,400,0.005,20.0,1e-06,469.0,11.923981428146362,0.06327375769615173,133.0,"[8, 4, 3]"
Energy_Bond_LJ,GNN_Bond_LJ0.33_n400_d3,-0.0213715061545372,6.131642818450928,0.05,0.1,20,1e-07,1.7716580629348755,400,0.005,20.0,1e-06,211.0,5.779978513717651,-0.017515480518341064,133.0,"[32, 16, 3]"
Energy_Bond_LJ,CG_Bond_LJ0.25_n400_d3,-0.023276325315237045,13.014034032821655,0.05,0.1,20,1e-07,1.7716580629348755,400,0.05,20.0,1e-06,529.0,11.071730613708496,-0.022005358710885048,,
Energy_Bond_LJ,GNN_Bond_LJ0.25_n400_d3,-0.022333981469273567,14.614932537078857,0.05,0.1,20,1e-07,1.7716580629348755,400,0.005,20.0,1e-06,588.0,14.262299537658691,-0.020686140283942223,100.0,"[8, 4, 3]"
Energy_Bond_LJ,GNN_Bond_LJ0.25_n400_d3,-0.02063479647040367,7.779275178909302,0.05,0.1,20,1e-07,1.7716580629348755,400,0.005,20.0,1e-06,277.0,7.4244444370269775,-0.013376320712268353,100.0,"[32, 16, 3]"
Energy_Bond_LJ,CG_Bond_LJ0.20_n400_d3,-0.023169947788119316,12.24828553199768,0.05,0.1,20,1e-07,1.7716580629348755,400,0.05,20.0,1e-06,444.0,9.236186504364014,-0.0206991545855999,,
Energy_Bond_LJ,GNN_Bond_LJ0.20_n400_d3,0.042433761060237885,17.230050325393677,0.05,0.1,20,1e-07,1.7716580629348755,400,0.005,20.0,1e-06,469.0,11.380148649215698,0.041509419679641724,80.0,"[8, 4, 3]"
Energy_Bond_LJ,GNN_Bond_LJ0.20_n400_d3,-0.02117898501455784,6.469855546951294,0.05,0.1,20,1e-07,1.7716580629348755,400,0.005,20.0,1e-06,236.0,6.115307092666626,-0.017117833718657494,80.0,"[32, 16, 3]"
Energy_Bond_LJ,CG_Bond_LJ0.10_n400_d3,0.0003273256297688931,6.703264474868774,0.05,0.1,20,1e-07,1.7716580629348755,400,0.05,20.0,1e-06,170.0,3.7971529960632324,0.005143428221344948,,
