energy_function,model_name,energy,time,lr,clamp_grads,patience,min_delta,x0_std,num_nodes,lr_cg,cg_patience,cg_min_delta,cg_steps,cg_time,cg_energy,num_cg_modes,hidden_dims
Energy_Bond_LJ,GD_Bond_LJ_n400_d3,-0.022754216566681862,8.54360842704773,0.05,0.1,20,1e-06,1.836790680885315,400,,,,,,,,
Energy_Bond_LJ,CG_Bond_LJ0.33_n400_d3,-0.023194534704089165,11.070001125335693,0.05,0.1,20,1e-06,1.836790680885315,400,0.05,20.0,9.999999999999999e-06,405.0,8.181297302246094,-0.022475263103842735,,
Energy_Bond_LJ,GNN_Bond_LJ0.33_n400_d3,-0.02306293323636055,14.8176109790802,0.05,0.1,20,1e-06,1.836790680885315,400,0.005,20.0,9.999999999999999e-06,466.0,11.557696342468262,-0.02281036041676998,133.0,"[8, 4, 3]"
Energy_Bond_LJ,GNN_Bond_LJ0.33_n400_d3,-0.02315993793308735,12.972470998764038,0.05,0.1,20,1e-06,1.836790680885315,400,0.005,20.0,9.999999999999999e-06,269.0,6.974454641342163,-0.022600796073675156,133.0,"[32, 16, 3]"
Energy_Bond_LJ,CG_Bond_LJ0.25_n400_d3,-0.02255164086818695,11.8905508518219,0.05,0.1,20,1e-06,1.836790680885315,400,0.05,20.0,9.999999999999999e-06,422.0,8.777098655700684,-0.02005580998957157,,
Energy_Bond_LJ,GNN_Bond_LJ0.25_n400_d3,-0.023146267980337143,21.659889936447144,0.05,0.1,20,1e-06,1.836790680885315,400,0.005,20.0,9.999999999999999e-06,620.0,15.475062847137451,-0.02265274152159691,100.0,"[8, 4, 3]"
Energy_Bond_LJ,GNN_Bond_LJ0.25_n400_d3,-0.019123410806059837,7.026602029800415,0.05,0.1,20,1e-06,1.836790680885315,400,0.005,20.0,9.999999999999999e-06,256.0,6.6554718017578125,-0.011929003521800041,100.0,"[32, 16, 3]"
Energy_Bond_LJ,CG_Bond_LJ0.20_n400_d3,0.01969338394701481,11.531193494796753,0.05,0.1,20,1e-06,1.836790680885315,400,0.05,20.0,9.999999999999999e-06,429.0,8.93461298942566,0.02391015738248825,,
Energy_Bond_LJ,GNN_Bond_LJ0.20_n400_d3,0.019769640639424324,17.69422745704651,0.05,0.1,20,1e-06,1.836790680885315,400,0.005,20.0,9.999999999999999e-06,616.0,14.709538459777832,0.01998557150363922,80.0,"[8, 4, 3]"
Energy_Bond_LJ,GNN_Bond_LJ0.20_n400_d3,-0.021371150389313698,5.9071595668792725,0.05,0.1,20,1e-06,1.836790680885315,400,0.005,20.0,9.999999999999999e-06,220.0,5.556619167327881,-0.015677055343985558,80.0,"[32, 16, 3]"
Energy_Bond_LJ,CG_Bond_LJ0.33_n400_d3,-0.009744459763169289,3.0019452571868896,0.05,0.1,20,1e-06,1.836790680885315,400,0.5,20.0,9.999999999999999e-06,111.0,2.6442556381225586,-0.006302678491920233,,
Energy_Bond_LJ,GNN_Bond_LJ0.33_n400_d3,-0.0017423229292035103,14.747087478637695,0.05,0.1,20,1e-06,1.836790680885315,400,0.05,20.0,9.999999999999999e-06,305.0,7.416446685791016,-0.0006241158116608858,133.0,"[8, 4, 3]"
