energy_function,model_name,energy,time,lr,clamp_grads,patience,min_delta,x0_std,num_nodes,lr_cg,cg_patience,cg_min_delta,cg_steps,cg_time,cg_energy,num_cg_modes,hidden_dims
Energy_LJ_2scale,Bond_LJ_n400_d3,-0.07831308245658875,2.201125144958496,0.05,0.1,20,1e-06,1.8455276489257812,400,,,,,,,,
Energy_LJ_2scale,CG_Bond_LJ0.33_n400_d3,0.3149133324623108,10.742827892303467,0.05,0.1,20,1e-06,1.8455276489257812,400,0.05,20.0,9.999999999999999e-06,594.0,9.537431478500366,0.33231255412101746,,
Energy_LJ_2scale,GNN_Bond_LJ0.33_n400_d3,0.09383104741573334,12.013643741607666,0.05,0.1,20,1e-06,1.8455276489257812,400,0.005,20.0,9.999999999999999e-06,463.0,9.533316373825073,0.09421654045581818,133.0,"[8, 4, 3]"
Energy_LJ_2scale,GNN_Bond_LJ0.33_n400_d3,-0.04441967234015465,2.4659528732299805,0.05,0.1,20,1e-06,1.8455276489257812,400,0.005,20.0,9.999999999999999e-06,30.0,1.1218781471252441,-0.01868370547890663,133.0,"[32, 16, 3]"
Energy_LJ_2scale,CG_Bond_LJ0.25_n400_d3,0.5173251628875732,13.260099172592163,0.05,0.1,20,1e-06,1.8455276489257812,400,0.05,20.0,9.999999999999999e-06,746.0,12.102932691574097,0.5411037802696228,,
Energy_LJ_2scale,GNN_Bond_LJ0.25_n400_d3,-0.11170436441898346,12.87992811203003,0.05,0.1,20,1e-06,1.8455276489257812,400,0.005,20.0,9.999999999999999e-06,507.0,10.468168020248413,-0.11988499015569687,100.0,"[8, 4, 3]"
Energy_LJ_2scale,GNN_Bond_LJ0.25_n400_d3,0.05235514044761658,3.140655994415283,0.05,0.1,20,1e-06,1.8455276489257812,400,0.005,20.0,9.999999999999999e-06,34.0,1.2026431560516357,0.08560296893119812,100.0,"[32, 16, 3]"
Energy_LJ_2scale,CG_Bond_LJ0.20_n400_d3,0.6258817911148071,12.395658731460571,0.05,0.1,20,1e-06,1.8455276489257812,400,0.05,20.0,9.999999999999999e-06,709.0,11.450138092041016,0.6553343534469604,,
Energy_LJ_2scale,GNN_Bond_LJ0.20_n400_d3,-0.020615188404917717,11.157670259475708,0.05,0.1,20,1e-06,1.8455276489257812,400,0.005,20.0,9.999999999999999e-06,447.0,9.261155605316162,-0.007994089275598526,80.0,"[8, 4, 3]"
Energy_LJ_2scale,GNN_Bond_LJ0.20_n400_d3,0.15197207033634186,2.5536949634552,0.05,0.1,20,1e-06,1.8455276489257812,400,0.005,20.0,9.999999999999999e-06,47.0,1.494884729385376,0.1795717477798462,80.0,"[32, 16, 3]"
